time_s,v_mem,u_deflection,v_comp,v_ana,v_outmix,theta_over_vref
<<<<<<< HEAD
0.000019999999999999998,2.5,0,0,-0,-0,0.7594533600802407
0.000039999999999999996,2.5,0,0,-0,-0,0.7594533600802407
0.000059999999999999995,2.5,0,0,-0,-0,0.7594533600802407
0.00007999999999999999,2.5,0,0,-0,-0,0.7594533600802407
0.00009999999999999999,2.5,0,0,-0,-0,0.7594533600802407
0.00011999999999999999,2.5,0,0,-0,-0,0.7594533600802407
0.00014,2.5,0,0,-0,-0,0.7594533600802407
0.00015999999999999999,2.5,0,0,-0,-0,0.7594533600802407
0.00017999999999999998,2.5,0,0,-0,-0,0.7594533600802407
0.00019999999999999998,2.5,0,0,-0,-0,0.7594533600802407
0.00021999999999999998,2.5,0,0,-0,-0,0.7594533600802407
0.00023999999999999998,2.5,0,0,-0,-0,0.7594533600802407
0.00026,2.5,0,0,-0,-0,0.7594533600802407
0.00028,2.5,0,0,-0,-0,0.7594533600802407
0.0003,2.5,0,0,-0,-0,0.7594533600802407
0.00031999999999999997,2.5,0,0,-0,-0,0.7594533600802407
0.00033999999999999997,2.5,0,0,-0,-0,0.7594533600802407
0.00035999999999999997,2.5,0,0,-0,-0,0.7594533600802407
0.00037999999999999997,2.5,0,0,-0,-0,0.7594533600802407
0.00039999999999999996,2.5,0,0,-0,-0,0.7594533600802407
0.00041999999999999996,2.5,0,0,-0,-0,0.7594533600802407
0.00043999999999999996,2.5,0,0,-0,-0,0.7594533600802407
0.00045999999999999996,2.5,0,0,-0,-0,0.7594533600802407
0.00047999999999999996,2.5,0,0,-0,-0,0.7594533600802407
0.0005,2.5,0,0,-0,-0,0.7594533600802407
0.0005200000000000001,2.5,0,0,-0,-0,0.7594533600802407
0.0005400000000000001,2.5,0,0,-0,-0,0.7594533600802407
0.0005600000000000002,2.5,0,0,-0,-0,0.7594533600802407
0.0005800000000000002,2.5,0,0,-0,-0,0.7594533600802407
0.0006000000000000003,2.5,0,0,-0,-0,0.7594533600802407
0.0006200000000000003,2.5,0,0,-0,-0,0.7594533600802407
0.0006400000000000004,2.5,0,0,-0,-0,0.7594533600802407
0.0006600000000000004,2.5,0,0,-0,-0,0.7594533600802407
0.0006800000000000005,2.5,0,0,-0,-0,0.7594533600802407
0.0007000000000000005,2.5,0,0,-0,-0,0.7594533600802407
0.0007200000000000006,2.5,0,0,-0,-0,0.7594533600802407
0.0007400000000000006,2.5,0,0,-0,-0,0.7594533600802407
0.0007600000000000007,2.5,0,0,-0,-0,0.7594533600802407
0.0007800000000000007,2.5,0,0,-0,-0,0.7594533600802407
0.0008000000000000008,2.5,0,0,-0,-0,0.7594533600802407
0.0008200000000000008,2.5,0,0,-0,-0,0.7594533600802407
0.0008400000000000009,2.5,0,0,-0,-0,0.7594533600802407
0.000860000000000001,2.5,0,0,-0,-0,0.7594533600802407
0.000880000000000001,2.5,0,0,-0,-0,0.7594533600802407
0.0009000000000000011,2.5,0,0,-0,-0,0.7594533600802407
0.0009200000000000011,2.5,0,0,-0,-0,0.7594533600802407
0.0009400000000000012,2.5,0,0,-0,-0,0.7594533600802407
0.0009600000000000012,2.5,0,0,-0,-0,0.7594533600802407
0.0009800000000000013,2.5,0,0,-0,-0,0.7594533600802407
0.0010000000000000013,2.5,0,0,-0,-0,0.7594533600802407
0.0010200000000000014,2.5,0,0,-0,-0,0.7594533600802407
0.0010400000000000014,2.5,0,0,-0,-0,0.7594533600802407
0.0010600000000000015,2.5,0,0,-0,-0,0.7594533600802407
0.0010800000000000015,2.5,0,0,-0,-0,0.7594533600802407
0.0011000000000000016,2.5,0,0,-0,-0,0.7594533600802407
0.0011200000000000016,2.5,0,0,-0,-0,0.7594533600802407
0.0011400000000000017,2.5,0,0,-0,-0,0.7594533600802407
0.0011600000000000017,2.5,0,0,-0,-0,0.7594533600802407
0.0011800000000000018,2.5,0,0,-0,-0,0.7594533600802407
0.0012000000000000018,2.5,0,0,-0,-0,0.7594533600802407
0.001220000000000002,2.5,0,0,-0,-0,0.7594533600802407
0.001240000000000002,2.5,0,0,-0,-0,0.7594533600802407
0.001260000000000002,2.5,0,0,-0,-0,0.7594533600802407
0.001280000000000002,2.5,0,0,-0,-0,0.7594533600802407
0.0013000000000000021,2.5,0,0,-0,-0,0.7594533600802407
0.0013200000000000022,2.5,0,0,-0,-0,0.7594533600802407
0.0013400000000000022,2.5,0,0,-0,-0,0.7594533600802407
0.0013600000000000023,2.5,0,0,-0,-0,0.7594533600802407
0.0013800000000000023,2.5,0,0,-0,-0,0.7594533600802407
0.0014000000000000024,2.5,0,0,-0,-0,0.7594533600802407
0.0014200000000000024,2.5,0,0,-0,-0,0.7594533600802407
0.0014400000000000025,2.5,0,0,-0,-0,0.7594533600802407
0.0014600000000000025,2.5,0,0,-0,-0,0.7594533600802407
0.0014800000000000026,2.5,0,0,-0,-0,0.7594533600802407
0.0015000000000000026,2.5,0,0,-0,-0,0.7594533600802407
0.0015200000000000027,2.5,0,0,-0,-0,0.7594533600802407
